"horizon","lower_90","lower_50","median","upper_50","upper_90","date","impulse","response","scenario"
3,-0.70052306570002,-0.390102729579087,-0.207397192373346,-0.0749295805278249,0.128898584359092,"2026-02-28","GPR_ME","oil_shock","cholesky"
4,-0.434308158903129,-0.240884041926996,-0.121679465822804,-0.0458190717323206,0.0825401975447967,"2026-02-28","GPR_ME","oil_shock","cholesky"
5,-0.266344501690389,-0.142626170431783,-0.0698621782082655,-0.0247546354662977,0.0522570917178353,"2026-02-28","GPR_ME","oil_shock","cholesky"
6,-0.168887214606254,-0.0823290876091214,-0.0417966539390747,-0.0132334689988912,0.0293696100582236,"2026-02-28","GPR_ME","oil_shock","cholesky"
7,-0.108102517535256,-0.04809877878194,-0.0234144497329035,-0.00731878158598097,0.0200339219035236,"2026-02-28","GPR_ME","oil_shock","cholesky"
8,-0.0696261275871652,-0.029438449074544,-0.0134423078629869,-0.00439172353957618,0.0137887056010903,"2026-02-28","GPR_ME","oil_shock","cholesky"
9,-0.0448797835633593,-0.0169510319217998,-0.00740998213180754,-0.00211479597922245,0.00757899442262758,"2026-02-28","GPR_ME","oil_shock","cholesky"
10,-0.0296057663757483,-0.0103221002742563,-0.00419367227402314,-0.00111200946365743,0.00448479488638358,"2026-02-28","GPR_ME","oil_shock","cholesky"
11,-0.0187972882675548,-0.00615023059038951,-0.00226299279315404,-0.000625863644251476,0.00270729685692186,"2026-02-28","GPR_ME","oil_shock","cholesky"
12,-0.013178610928545,-0.00367194376468525,-0.00127238785134217,-0.000330029522585607,0.00170444217955815,"2026-02-28","GPR_ME","oil_shock","cholesky"
0,-0.0812273093058139,-0.00437412713884614,0.038961487867986,0.0905217406284708,0.188227362070542,"2026-02-28","oil_shock","fx_dep","cholesky"
1,-0.0322190095675072,0.00777988382457787,0.0340703320039557,0.0677565103153108,0.116748207897804,"2026-02-28","oil_shock","fx_dep","cholesky"
2,-0.0157037434533849,0.00537873872461201,0.0166685225547857,0.0329655461157612,0.059080432243024,"2026-02-28","oil_shock","fx_dep","cholesky"
3,-0.00794659022752691,0.00296829175448517,0.00800514510133453,0.0159938626398035,0.0309094220111952,"2026-02-28","oil_shock","fx_dep","cholesky"
4,-0.0038839596634058,0.00113744586945153,0.0037608933592632,0.00766797881750243,0.0165794299201878,"2026-02-28","oil_shock","fx_dep","cholesky"
5,-0.00197827295044789,0.000445173215624041,0.00174911978512169,0.00377784577343005,0.00889991941080932,"2026-02-28","oil_shock","fx_dep","cholesky"
6,-0.00099599772380568,0.000140721551714346,0.00081373560140555,0.00189353621870637,0.00483223733246903,"2026-02-28","oil_shock","fx_dep","cholesky"
7,-0.000619090396384188,2.98811468150196e-05,0.000378332092552942,0.000956516101104279,0.00276898836992438,"2026-02-28","oil_shock","fx_dep","cholesky"
8,-0.000374654326013579,4.41722559176291e-06,0.000176235426740988,0.000473397082897241,0.00156570671063413,"2026-02-28","oil_shock","fx_dep","cholesky"
9,-0.000222729568251355,-7.8230190900109e-06,9.08906869548946e-05,0.000260230799765526,0.00088868779119246,"2026-02-28","oil_shock","fx_dep","cholesky"
10,-0.000145097569833721,-6.3664938620392e-06,4.44058503614911e-05,0.000135753170154683,0.000537911850080377,"2026-02-28","oil_shock","fx_dep","cholesky"
11,-9.49539245996001e-05,-4.39911488547593e-06,2.34713937144293e-05,7.40204373649722e-05,0.000328484872242397,"2026-02-28","oil_shock","fx_dep","cholesky"
12,-5.71361516895795e-05,-2.67377068877565e-06,1.18177115995798e-05,4.0980947099304e-05,0.000205736569679067,"2026-02-28","oil_shock","fx_dep","cholesky"
0,-0.182655346327769,-0.0750472870489589,-0.0243883602211403,0.0157398731955699,0.0782541326916774,"2026-02-28","oil_shock","inflation_mom","cholesky"
1,-0.0454988604307036,-0.0016757029794835,0.0254331572538663,0.049578090292495,0.0957433350406056,"2026-02-28","oil_shock","inflation_mom","cholesky"
2,-0.0146539850820176,0.00246719572240499,0.0157158723418977,0.0289399200361843,0.0543105781468263,"2026-02-28","oil_shock","inflation_mom","cholesky"
3,-0.00641461918764672,0.00166827025896485,0.0077189464646426,0.0152370818918207,0.0281481616452764,"2026-02-28","oil_shock","inflation_mom","cholesky"
4,-0.00331348198573445,0.000949442776788318,0.00387306978050337,0.00756942152814272,0.0149370876509718,"2026-02-28","oil_shock","inflation_mom","cholesky"
5,-0.00170779584145569,0.00051873971934414,0.00199247590550428,0.00376002483685088,0.00826291853407674,"2026-02-28","oil_shock","inflation_mom","cholesky"
