Date,FFR,GPR_ME,GSCPI,Oil,USDLAK,CPI_Inf,CPI,oil_shock,fx_dep,inflation_mom,post_2022,regime,event_tag,GPR_ME_alt
2011-06-30,0.07,0.2441219866275787,0.2000351820570553,111.71,8022.5,9.52,85.9,-4.780498653388587,-0.10589592044496499,0.23310033864758495,0,pre_2022,,0.28444892168045044
2011-07-31,0.11,0.1408554539084434,0.2887487528298115,115.93,8010.0,7.13,86.3,3.708033309955372,-0.15593329216070373,0.46457690991719147,0,pre_2022,,0.16869468614459035
2011-08-31,0.08,0.2555551409721374,-0.100861871669356,116.48,8013.5,6.29,86.6,0.4733023766065436,0.04368583712253127,0.34702174790073315,0,pre_2022,,0.29696106910705566
2011-09-30,0.06,0.2812499985098838,-0.5525558804359453,105.42,8015.0,6.35,86.9,-9.97672130213152,0.018716661002393664,0.34582167029570954,0,pre_2022,,0.3311434648931026
2011-10-31,0.09,0.2458296716213226,-0.376619350099848,108.43,8007.0,6.66,87.2,2.8152432057029664,-0.09986269710200446,0.34462986435874754,0,pre_2022,,0.282704122364521
2011-11-30,0.1,0.3437110863626003,0.1412272539055031,111.22,8018.0,7.93,87.2,2.5405418275327385,0.13728551298175518,0.0,0,pre_2022,,0.4225226864218712
2011-12-31,0.04,0.2221207946538925,-0.0399248110312505,108.09,8023.0,7.7,86.7,-2.8546008331305828,0.06234025512039665,-0.5750447128437308,0,pre_2022,,0.27099497616291046
2012-01-31,0.11,0.2711738400161266,0.3866242901380932,110.26,7990.0,6.69,86.5,1.9876999733425826,-0.4121656993335776,-0.23094698486625376,0,pre_2022,,0.3259658142924309
2012-02-29,0.1,0.3397448115050793,0.0111658719671612,122.23,7982.5,6.11,86.7,10.306330262763375,-0.09391141713823714,0.23094698486625376,0,pre_2022,,0.41135022044181824
2012-03-31,0.09,0.2910545617341995,-0.3665219826818633,123.41,7988.0,5.33,87.5,0.9607629675921103,0.06887699467679198,0.9184909577072631,0,pre_2022,,0.34829989075660706
2012-04-30,0.16,0.2663631230592728,-0.3246774840577355,118.66,7998.0,4.37,88.6,-3.9249884634595666,0.12510948710584557,1.2493064247466101,0,pre_2022,,0.31587934494018555
2012-05-31,0.16,0.1849710963666439,-0.6724994008066175,103.86,8023.0,3.77,88.9,-13.321842241432424,0.3120906346891772,0.3380284908823583,0,pre_2022,,0.22489161603152746
2012-06-30,0.09,0.2753151576966047,-0.7036102278072501,94.17,8009.0,3.56,89.0,-9.794217889420054,-0.17465074299725103,0.11242272122808927,0,pre_2022,,0.33666255697607994
2012-07-31,0.13,0.3334745295345783,-0.6864730991216974,105.93,8023.5,2.92,88.8,11.767683908643267,0.18088263157309825,-0.2249719734015443,0,pre_2022,,0.40721629932522774
2012-08-31,0.13,0.3303437992930412,-0.1359552637534979,113.93,8015.0,3.36,89.5,7.280572610161951,-0.10599495957599459,0.7851975282685331,0,pre_2022,,0.3989162966609001
2012-09-30,0.09,0.2484790697693824,-0.2610780447269734,111.36,8013.0,3.67,90.1,-2.281602812391448,-0.024956326558367437,0.6681539333482256,0,pre_2022,,0.3014366291463375
2012-10-31,0.18,0.2505233768373728,-0.0055350102835665,109.89,8000.0,3.51,90.2,-1.3288331127276898,-0.1623681116097231,0.11092624542863305,0,pre_2022,,0.30617585405707354
2012-11-30,0.16,0.4257886059582233,-0.3533038369563143,110.84,8000.0,3.36,90.1,0.8607854535944703,0.0,-0.11092624542863305,0,pre_2022,,0.5207039825618267
2012-12-31,0.09,0.2027026981115341,-0.150652839031931,110.8,7987.0,4.73,90.8,-0.03609456815940604,-0.16263217445846578,0.7739120992956039,0,pre_2022,,0.2417287919670343
2013-01-31,0.15,0.1643976330757141,-0.0500655806600768,115.55,7937.5,5.7,91.4,4.197656240720615,-0.6216855716441927,0.6586192852856776,0,pre_2022,,0.18714909069240088
2013-02-28,0.14,0.2044602267444134,-0.3764825401089685,112.2,7890.0,6.03,92.0,-2.9420343631793244,-0.6002229361026679,0.654309858893587,0,pre_2022,,0.2466942891478538
2013-03-31,0.09,0.2084958478808403,-0.5429472445670704,108.46,7750.0,5.8,92.6,-3.3901551675682207,-1.7903291492526563,0.6500564603093117,0,pre_2022,,0.24820934236049652
2013-04-30,0.14,0.1879305176436901,-0.7332043089519948,101.53,7750.0,5.45,93.4,-6.602712009978262,0.0,0.8602203582663392,0,pre_2022,,0.22368223965167994
2013-05-31,0.09,0.1991485707461834,-0.8670968755186925,100.43,7679.0,5.65,94.0,-1.0893353907883707,-0.920351301684974,0.6403437035206849,0,pre_2022,,0.24532794952392575
2013-06-30,0.07,0.1788500346243381,-0.6693628749171889,102.49,7765.0,6.26,94.6,2.0304265438223723,1.1137126252243945,0.6362693787828277,0,pre_2022,,0.21500057354569427
2013-07-31,0.09,0.2214891552925109,-0.6569482468391112,107.89,7795.5,7.43,95.4,5.134695671977685,0.392018753381862,0.8421102396408919,0,pre_2022,,0.26115299388766283
2013-08-31,0.07,0.3030418984591961,-0.5695971145482991,115.97,7840.0,6.83,95.6,7.221934740536362,0.5692190227847505,0.2094241603114888,0,pre_2022,,0.3701932281255722
2013-09-30,0.06,0.3201723963022232,-0.2846752404153567,107.85,7849.0,6.87,96.3,-7.259016413344632,0.11473007823603609,0.7295498746723972,0,pre_2022,,0.38578464835882187
2013-10-31,0.07,0.2430467694997787,-0.1867587402510684,107.53,7905.0,6.72,96.3,-0.29714944327308146,0.7109335516759074,0.0,0,pre_2022,,0.2848204337060451
2013-11-30,0.07,0.3082749485969543,-0.6964573651982221,111.07,8005.0,6.94,96.4,3.239075477659359,1.257087578724203,0.10378828124197881,0,pre_2022,,0.3768225722014904
2013-12-31,0.07,0.1790174856781959,-0.4987096645304981,109.95,8034.5,6.65,96.8,-1.0134916178258457,0.36784230509923077,0.4140792666031956,0,pre_2022,,0.2019150704145431
2014-01-31,0.07,0.1940298520028591,-0.6386336297879808,108.16,8035.0,5.99,96.9,-1.6414104706115928,0.006222968980651444,0.1032524614188901,0,pre_2022,,0.23075412586331365
2014-02-28,0.06,0.1335545409470796,-0.2846926359333408,108.98,8022.0,5.66,97.2,0.7552766860298377,-0.16192318416159424,0.3091192569672607,0,pre_2022,,0.1596847772598266
2014-03-31,0.06,0.1823255807161331,-0.6254110460162964,105.95,8041.5,5.32,97.5,-2.819709444064422,0.24278656057035164,0.30816665374082675,0,pre_2022,,0.2139534875750541
